maneuver_id,time_since_start,drone_name,velocity_magnitude
20260129_010825,0.2812,crazyflie6,0.4047
20260129_010825,0.2864,crazyflie5,0.3012
20260129_010825,0.2866,crazyflie7,0.4157
20260129_010825,0.2867,crazyflie8,0.3975
20260129_010825,0.2942,crazyflie3,0.4227
20260129_010825,0.2944,crazyflie10,0.3816
20260129_010825,0.2951,crazyflie,0.4255
20260129_010825,0.2954,crazyflie2,0.4334
20260129_010825,0.2979,crazyflie9,0.4351
20260129_010825,0.3000,crazyflie4,0.4291
20260129_010825,0.3047,crazyflie6,0.4255
20260129_010825,0.3101,crazyflie5,0.3412
20260129_010825,0.3104,crazyflie7,0.4342
20260129_010825,0.3105,crazyflie8,0.4198
20260129_010825,0.3181,crazyflie,0.4420
20260129_010825,0.3183,crazyflie2,0.4482
20260129_010825,0.3185,crazyflie3,0.4398
20260129_010825,0.3187,crazyflie10,0.4060
20260129_010825,0.3206,crazyflie9,0.4495
20260129_010825,0.3223,crazyflie4,0.4448
20260129_010825,0.3278,crazyflie6,0.4420
20260129_010825,0.3328,crazyflie5,0.3743
20260129_010825,0.3329,crazyflie7,0.4489
20260129_010825,0.3330,crazyflie8,0.4375
20260129_010825,0.3403,crazyflie,0.4550
20260129_010825,0.3405,crazyflie2,0.4598
20260129_010825,0.3406,crazyflie10,0.3931
20260129_010825,0.3409,crazyflie3,0.4532
20260129_010825,0.3417,crazyflie9,0.4609
20260129_010825,0.3448,crazyflie4,0.4572
20260129_010825,0.3498,crazyflie6,0.4550
20260129_010825,0.3548,crazyflie5,0.4012
20260129_010825,0.3549,crazyflie7,0.4603
20260129_010825,0.3553,crazyflie8,0.4514
20260129_010825,0.3624,crazyflie,0.4651
20260129_010825,0.3626,crazyflie2,0.4689
20260129_010825,0.3629,crazyflie3,0.4637
20260129_010825,0.3631,crazyflie10,0.3489
20260129_010825,0.3645,crazyflie9,0.4697
20260129_010825,0.3668,crazyflie4,0.4668
20260129_010825,0.3711,crazyflie6,0.4651
20260129_010825,0.3762,crazyflie5,0.4227
20260129_010825,0.3764,crazyflie7,0.4693
20260129_010825,0.3765,crazyflie8,0.4623
20260129_010825,0.3844,crazyflie,0.4730
20260129_010825,0.3846,crazyflie2,0.4760
20260129_010825,0.3847,crazyflie10,0.2958
20260129_010825,0.3851,crazyflie3,0.4719
20260129_010825,0.3868,crazyflie9,0.4766
20260129_010825,0.3890,crazyflie4,0.4744
20260129_010825,0.3934,crazyflie6,0.4730
20260129_010825,0.3992,crazyflie5,0.4398
20260129_010825,0.3994,crazyflie7,0.4763
20260129_010825,0.3996,crazyflie8,0.4708
20260129_010825,0.4078,crazyflie,0.4791
20260129_010825,0.4080,crazyflie2,0.4814
20260129_010825,0.4082,crazyflie3,0.4783
20260129_010825,0.4084,crazyflie10,0.2456
20260129_010825,0.4098,crazyflie9,0.4819
20260129_010825,0.4117,crazyflie4,0.4802
20260129_010825,0.4159,crazyflie6,0.4791
20260129_010825,0.4216,crazyflie5,0.4532
20260129_010825,0.4218,crazyflie7,0.4817
20260129_010825,0.4219,crazyflie8,0.4775
20260129_010825,0.4290,crazyflie,0.4839
20260129_010825,0.4293,crazyflie3,0.4833
20260129_010825,0.4299,crazyflie2,0.4857
20260129_010825,0.4300,crazyflie10,0.2216
20260129_010825,0.4316,crazyflie9,0.4861
20260129_010825,0.4334,crazyflie4,0.4847
20260129_010825,0.4379,crazyflie6,0.4839
20260129_010825,0.4442,crazyflie5,0.4638
20260129_010825,0.4444,crazyflie7,0.4859
20260129_010825,0.4445,crazyflie8,0.4826
20260129_010825,0.4517,crazyflie,0.4876
20260129_010825,0.4521,crazyflie2,0.4890
20260129_010825,0.4522,crazyflie3,0.4871
20260129_010825,0.4527,crazyflie10,0.1921
20260129_010825,0.4537,crazyflie9,0.4893
20260129_010825,0.4564,crazyflie4,0.4882
20260129_010825,0.4603,crazyflie6,0.4876
20260129_010825,0.4659,crazyflie5,0.4720
20260129_010825,0.4661,crazyflie7,0.4891
20260129_010825,0.4663,crazyflie8,0.4866
20260129_010825,0.4744,crazyflie,0.4904
20260129_010825,0.4746,crazyflie2,0.4915
20260129_010825,0.4748,crazyflie3,0.4901
20260129_010825,0.4750,crazyflie10,0.1452
20260129_010825,0.4767,crazyflie9,0.4917
20260129_010825,0.4784,crazyflie4,0.4909
20260129_010825,0.4827,crazyflie6,0.4904
20260129_010825,0.4881,crazyflie5,0.4783
20260129_010825,0.4884,crazyflie7,0.4916
20260129_010825,0.4886,crazyflie8,0.4897
20260129_010825,0.4958,crazyflie2,0.4935
